,judul
28,"WHO Ingatkan Dunia, Covid-19 Varian Omicron Bisa Picu Risiko Global 'Sangat Tinggi'"
29,Ahli Moderna Curiga Varian Omicron Bisa Hindari Keampuhan Vaksin Covid-19
30,"Masuki Gelombang Kelima Covid-19, Prancis Deteksi 8 Kasus yang Diduga Varian Omicron"
31,"Kabar Baik, WHO Sebut Tak Ada Bukti Nyata Covid-19 Varian Omicron Lebih Menular"
32,"WHO Klaim Tes PCR Efektif untuk Deteksi Covid-19 Varian Omicron, Bagaimana dengan Antigen?"
33,"Waspadai Varian Omicron, Fauci Sebut AS Punya Potensi Hadapi Gelombang Kelima Covid-19"
34,"Pariwisata Afrika Selatan Kacau, Negara Lain Larang Perjalanan karena Varian Omicron"
35,"Waspadai Varian Baru Covid-19 Jenis Omicron, Karantina WNI-WNA dari Luar Negeri Kini Jadi 7 Hari"
36,"Cegah Varian Omicron, Kemenhub Terbitkan SE Perketat Seluruh Pintu Masuk Transportasi ke Indonesia"
37,"Berlaku Hari Ini, WNA dari 11 Negara Wajib Penuhi Ketentuan yang Tertuang dalam SE Nomor 23 Tahun 2021"
38,Luhut Pandjaitan Minta Masyarakat Tidak Panik Terkait Covid-19 Varian Omicron
39,Presiden Afsel Serukan Pembalikan Segera Larangan Perjalanan Atas Omicron: Tidak Benar dan Mendeskriminasi
40,"Data Tak Cukup, WHO Tegaskan Varian Omicron Belum Tentu Berbahaya dari Varian Delta"
41,Dokter Afrika Selatan yang Menandai Omicron Mengklaim Varian Tidak Menyebabkan Penyakit Serius
42,Luhut Pandjaitan Bahas Opsi Lockdown Indonesia demi Antisipasi Covid-19 Varian Omicron
43,"Varian Omicron Merebak di Sejumlah Negara, Luhut Pandjaitan Pastikan Kasus Covid-19 di Indonesia Terkendali"
44,7 Negara WNA yang Dilarang Masuk ke Indonesia untuk Cegah Varian Omicron
45,"WHO Kelompokkan Varian Omicron Kategori Kewaspadaan Tinggi, Pakar: Penyebarannya Lebih Cepat"
46,"Selain Afrika Selatan, Indonesia Juga Larang Perjalanan dari 7 Negara Ini untuk Cegah Penyebaran Omicron"
47,Afrika Selatan Protes Larangan Perjalanan Akibat Varian Omicron Sebagai Tindakan Kejam
48,"Cegah Varian Baru Covid-19 Omicron, Pemerintah Tutup Pintu Bagi Pelaku Perjalanan dari Afrika Selatan"
49,Memblokir Penerbangan dari Afrika adalah Ide Buruk demi Cegah Omicron Menyebar
50,"Lacak Varian Omicron, Singapura Mungkin Terpaksa Batalkan Pelonggaran"
51,"Cegah Covid-19 Omicron Masuk ke Indonesia, Kemenkumham Terbitkan SE Pembatasan Sementara bagi WNA"
52,"Aturan Sudah Resmi, RI 'Tutup Pintu' Negara-negara Afrika Cegah Covid-19 Varian Omicron"
53,"Daftar Negara yang Sudah Tertular Covid-19 Omicron, Salah Satunya Ada di Asia!"
54,"WHO Minta Asia Tenggara Waspada Soal Omicron, Jangan Sampai Penjagaan Kita Turun!"
55,"Dokter di Afrika Selatan Sebut Varian Covid-19 Omicron Miliki Gejala Tak Biasa, Lebih Ringan?"
56,"Afrika Selatan Mengeluh 'Dihukum', AS Justru Beri Pujian Selangit Soal Deteksi Dini Varian Omicron"
57,"Nakes Pendukung 212 Bicara Kemungkinan Ledakan Omicron dari Kerumunan, Tegaskan Tak Memaksa"
58,"Diklaim Lebih Cepat Menular Dibanding Delta, Dugaan Kasus Covid-19 Varian Omicron Muncul di Ceko dan Jerman"
59,"Buat Resah Dunia, Simak Beberapa Fakta yang Perlu Diketahui dari Varian Omicron"
60,"Inggris Umumkan Langkah Baru Hadapi Varian Omicron, Boris Johnson Sebut Ilmuwan Perlu Mengulur Waktu"
61,Afrika Selatan Akui Sedang 'Dihukum' Usai Berhasil Deteksi Dini Covid-19 Varian Omicron
62,"Seolah Beri 'Tamparan' ke China, AS Puji Afrika Selatan yang Jujur Soal Varian Baru Omicron"
63,Arab Saudi Izinkan Masuk Bersyarat dari 'Semua Negara' Usai Varian Omicron Picu Kekhawatiran
64,"Waspada Omicron, Israel Tutup Perbatasan dari Orang Asing Sepenuhnya"
65,"Kini Jadi Perhatian Dunia, Covid-19 Varian Omicron Diklaim Picu Penyakit Ringan"
66,"Omicron Buat Panik Dunia, AS hingga Thailand Larang Pelancong dari Afrika Selatan, Bagaimana Indonesia?"
67,"Covid-19 Omicron Picu Kepanikan Dunia, Negara-negara Ini Langsung Berlakukan Pembatasan Perjalanan"
68,"Bahaya Varian Baru Covid-19 Omicron, Pakar China Ungkap Vaksin Mana yang Ampuh Menangkal"
69,"Varian Omicron Disebut Menyebar Lebih Cepat, Apakah Vaksinasi Bisa Jadi Tameng Pelindung?"
70,"Bahaya Omicron, Big Pharma Racik Vaksin Khusus untuk Perangi Covid-19 Varian Baru"
71,"Awas Varian Baru Covid-19 Omicron, WHO Peringatkan Virus Paling Banyak Bermutasi"
72,"Larang Penerbangan dari 8 Negara, Joe Biden Dituntut untuk Cegah Varian Omicron Masuk ke AS"
73,"Hal yang Perlu Diketahui dari Omicron, Varian Virus Corona Baru dan Terdeteksi Menyebar Lebih Cepat"
74,"Varian Virus Corona Baru 'Omicron', Memicu Ketakutan Dunia dan Larangan Bepergian ke Afrika Selatan"
75,"WHO sampai Rapat Dadakan, Covid-19 Varian Omicron B.1.1.529 Kian Genting"
